词,频次,主题,例句
这种,32,其他,二进制小品: 这种视频也能火，只能说明多数的网民是搐生; 无偿送给今年的春晚导演组: 仔细想想还真有可能出这种剧情，救命; 2024春晚小品押题《三胎》: 好几年没看春晚了，现在已经进化到这种风格了吗？可以可以
直接,32,其他,无偿送给今年的春晚导演组: 所以直接不结婚; 二模卷成功押中春晚真题  看看是怎么个事儿2024春晚小品押题二模卷《小土豆与锅包肉》: 直接包饺子吧; 我想看这样的春晚: 这个春晚我直接光速杀向现场
吃,32,其他,2024春晚小品押题《三胎》: 曾孙：我吃柠檬; 2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 我的天啊，我已经吃饱了不要再包了; 二模卷成功押中春晚真题  看看是怎么个事儿2024春晚小品押题二模卷《小土豆与锅包肉》: 央视导演：我吃柠檬
我要,32,情感与互动,我想看这样的春晚: 我要这个导演！！！; 《2025年蛇年春晚烂梗小品精选》: 谢帝谢帝我要diss你，很无语的rap词; 我想看这样的春晚: 我要看我要看我要看我要看
有意思,32,情感与互动,求求各位，不要再押题春晚小品了……: 支持，改了还不如原来那几个有意思; 史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 这个笑点也一般，但主要是演员演的好，我还觉得挺有意思的; 求求各位，不要再押题春晚小品了……: 邻居吵架都比他有意思
老师,32,其他,我想看这样的春晚: 再次合作，多多包涵春山老师; 【旧曲新歌奥密克戎】2022春晚押题相声: 胡老师押了一年题了; 史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 建议去看红叶老师的解读
教育,32,其他,2025春晚小品预测，这届网友太有才了: 春晚的教育，那么喜好为人师啊？; 求求各位，不要再押题春晚小品了……: 相声小品一定要有教育意义！（; 2025春晚小品预测，这届网友太有才了: 教育？老子累死累活一年看个娱乐节目你还教育我？
三胎,31,其他,【旧曲新歌奥密克戎】2022春晚押题相声: 生三胎up早做了; 2024春晚小品押题《三胎》: 生三胎是为了多包点饺子; 《2025年蛇年春晚烂梗小品精选》: 子涵妈妈（三胎备孕中）
为了,31,春晚主题,求求各位，不要再押题春晚小品了……: 可是博主押题又不是为了春晚。。。谁管春晚啥题材啊，出啥题材都是博主们的素材; 2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 看得出为了不ng真的憋出内伤; 史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 我以为是为了离婚证来的
负担,31,吐槽与负面情绪,2024春晚小品押题《三胎》: 不生出来，孩子不就没负担了吗; 2024春晚小品押题《三胎》: 那现在不考虑自己养三个孩子的负担吗; 2024春晚小品押题《三胎》: 那你咋不多生给儿子减轻负担咧
月,31,年度与时间,我想看这样的春晚: 就冲这个九月点了; papi酱的春晚预测: 2024年1月打卡; papi酱的春晚预测: 现在时间2022年12月
最,31,春晚内容相关,史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 这个摄影师全程最尬; 我想看这样的春晚: 你如果二上春山，将会成为有史以来收视率最高的春晚。; 2024春晚小品押题《三胎》: 最后肯定真怀了圆满大结局
爱看,31,情感与互动,我想看这样的春晚: 爱看; 2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 快更新的，爱看; 【旧曲新歌奥密克戎】2022春晚押题相声: 爱看啊！！
00,31,年度与时间,8秒看完2025年春晚: 我没说过00后; 你觉得今年春晚最有可能出现哪些梗？: 我甚至分不清谁是007了; 8秒看完2025年春晚: 90后被70/80说过是垮掉的一代，到从来没说过00后10后！
再,30,其他,无偿送给今年的春晚导演组: 再见了，所有的照相馆(; 无偿送给今年的春晚导演组: 再见照相馆，还见照相馆; 2024春晚小品押题《三胎》: 笑拥还是太新了，必须再老一点尬一点（
三个,30,其他,我想看这样的春晚: 那三个！！狂落泪！是TFBOYS吗！; 2024春晚小品押题《三胎》: 那现在不考虑自己养三个孩子的负担吗; 二模卷成功押中春晚真题  看看是怎么个事儿2024春晚小品押题二模卷《小土豆与锅包肉》: 盲猜是三个菜一共68
沈腾,30,明星与节目,求求各位，不要再押题春晚小品了……: 沈腾的不错（; 史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 啊 我怎么感觉这个沈腾有点像高启强？; 求求各位，不要再押题春晚小品了……: 去年记得有个沈腾马丽演的那个还不错
做,30,其他,有烂梗的春晚才叫过年呐: 公式做题; 我想看这样的春晚: 求你去做春晚导演策划; 无偿送给今年的春晚导演组: 在广东做外贸
1,30,年度与时间,有烂梗的春晚才叫过年呐: 12.华为：三折叠，怎么折都有面; 二进制小品: 101010101010101010101010101010101010 101010101010 11010101010 1010 101010 10101010 10101010110110 11; 2024春晚小品押题《三胎》: 春晚模拟118分
最后,29,年度与时间,求求各位，不要再押题春晚小品了……: 哈哈哈哈哈哈哈哈up断了春晚最后一条路; 【旧曲新歌奥密克戎】2022春晚押题相声: 最后几道保命题是吧
用,29,其他,无偿送给今年的春晚导演组: dinner梗不够你用的; 2024春晚小品押题《三胎》: 18岁这梗太新了春晚不会用
一定,29,情感与互动,2024春晚小品押题《三胎》: 不一定能活到80哦; 求求各位，不要再押题春晚小品了……: 最难忘的那一定是讨厌的
牛,29,春晚内容相关,papi酱的春晚预测: 牛; 史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 不知道还寻思又出了什么感动事迹，导演牛逼阿，人才阿
这里,29,其他,有烂梗的春晚才叫过年呐: 这里是模仿那个Q宝广告; 【旧曲新歌奥密克戎】2022春晚押题相声: 这里是模仿了《新虎口脱险》
玩,29,情感与互动,无偿送给今年的春晚导演组: 好好好，这么玩是吧; 求求各位，不要再押题春晚小品了……: 改的那些个破玩意，还不如包饺子呢。
666,29,情感与互动,2025年春晚押题小品之《再见老登》: 666; 无偿送给今年的春晚导演组: 66666666
包饺砸,29,春晚内容相关,2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 哈哈哈哈哈哈哈哈包饺砸; papi酱的春晚预测: 不是包饺砸不是很认可
一年,29,年度与时间,求求各位，不要再押题春晚小品了……: 能不能让一年一度喜剧大赛的上; 史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 至少也比上一年您太可了。你太格了是什么意思？
看过,28,春晚内容相关,2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 这集好像看过; 《2025年蛇年春晚烂梗小品精选》: 这是真喷不了，这是真看过春晚
误会,28,情感与互动,二模卷成功押中春晚真题  看看是怎么个事儿2024春晚小品押题二模卷《小土豆与锅包肉》: 预定：都是误会～; 求求各位，不要再押题春晚小品了……: 确实没误会，人家是真有矛盾
一下,28,情感与互动,有烂梗的春晚才叫过年呐: 这个春晚味儿一下就上来了; 二模卷成功押中春晚真题  看看是怎么个事儿2024春晚小品押题二模卷《小土豆与锅包肉》: 本来好不容易有个新剧本了，这下好了，啪一下，没了
喜欢,28,情感与互动,二模卷成功押中春晚真题  看看是怎么个事儿2024春晚小品押题二模卷《小土豆与锅包肉》: byd那么喜欢土豆咋自己不化个土豆装呢？; 史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 马旭东居然是很喜欢他，当时看这小品没发现
吐,28,吐槽与负面情绪,无偿送给今年的春晚导演组: 好了，已经想吐了; 《2025年蛇年春晚烂梗小品精选》: 吐了已经
林俊杰,28,明星与节目,papi酱的春晚预测: 这时候林俊杰上场为郭冬临戴上一顶假发; 【旧曲新歌奥密克戎】2022春晚押题相声: 林俊杰哈哈哈哈哈哈哈哈
蚌埠,27,其他,2024春晚小品押题《三胎》: 音乐一出蚌埠住了; 2025年春晚押题小品之《再见老登》: 豆角真的蚌埠组了
?,27,其他,《2025年蛇年春晚烂梗小品精选》: 不是生了四个，三个男孩儿，一个女孩儿?; 史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 哪疼…?
真是,27,情感与互动,8秒看完2025年春晚: 绷不住了还真是; 你觉得今年春晚最有可能出现哪些梗？: 这真是
字,27,春晚内容相关,二模卷成功押中春晚真题  看看是怎么个事儿2024春晚小品押题二模卷《小土豆与锅包肉》: 太强行了，文字梗; 史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 王宝强说话我都听不清楚他在说什么，感觉口齿不清晰，没有字幕简直就是灾难
骄傲,27,情感与互动,2024春晚小品押题《三胎》: 有两罐蜂蜜那么骄傲?; 史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 我骄傲～
那么,26,其他,2024春晚小品押题《三胎》: 那么好了好了; 二进制小品: 这个视频的艺术成分有三四层楼那么高
更,26,其他,2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 快更新的，爱看; 求求各位，不要再押题春晚小品了……: 那不是更好
好像,26,情感与互动,papi酱的春晚预测: 这句语气真的好像; 二进制小品: 好像是马走日，不太确定。
味太冲,26,吐槽与负面情绪,2024春晚小品押题《三胎》: 好家伙 味太冲了; 2024春晚小品饱和式押题第一季！饺砸一次包个够~~: woc这味太冲
等,26,其他,有烂梗的春晚才叫过年呐: 等叫他好评如潮; 求求各位，不要再押题春晚小品了……: 还有这等好事？
恶心,26,吐槽与负面情绪,2024春晚小品押题《三胎》: 这个浓度太高 我有点犯恶心了; 《2025年蛇年春晚烂梗小品精选》: 令人熟悉的恶心感觉
别,26,情感与互动,2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 别包了我吃饱了; papi酱的春晚预测: 别押题了全中就不好啦
不如,26,吐槽与负面情绪,史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 不如郭芙蓉的，世界如此美妙我却如此暴躁，这样不好不好; 求求各位，不要再押题春晚小品了……: 还不如包饺子
10,26,年度与时间,8秒看完2025年春晚: 90后被70/80说过是垮掉的一代，到从来没说过00后10后！; 8秒看完2025年春晚: 哎，我可没说过10是被毁掉的
相声,26,明星与节目,史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 岳云鹏这几年都没有能让我笑出声的相声了; 求求各位，不要再押题春晚小品了……: 你的相声要有教育意义
但,26,其他,2024春晚小品押题《三胎》: 很抽象，但是很符合那些专家的说法; 2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 饺迟但到
一点,25,春晚内容相关,8秒看完2025年春晚: 斗不了一点，还忙着斗地主呢; 史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 长头发女：我得装的像一点
居然,25,吐槽与负面情绪,papi酱的春晚预测: 居然是17年的视频; 史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 我当时也是这样想的，大过年的我居然还有看别人吵来吵去
俩,25,其他,史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 罗南：你俩比星爵还尬知道么; 2025年春晚押题小品之《再见老登》: 你俩搁这儿押题呢？
咋,25,其他,求求各位，不要再押题春晚小品了……: 咋地，你挺沮丧呗？; 【旧曲新歌奥密克戎】2022春晚押题相声: 奥密克戎，他个头还挺大，它薄皮大馅18个褶，他不是包咋
回来,25,情感与互动,papi酱的春晚预测: 我的天 24年回来看的; papi酱的春晚预测: 23回来备考
哦,25,情感与互动,2024春晚小品押题《三胎》: 你俩可不一定八十哦; 无偿送给今年的春晚导演组: 哦，都要生了你看不出来是吗？
真实,25,春晚内容相关,2024春晚小品押题《三胎》: 目前看过最真实的; 8秒看完2025年春晚: xsl太真实了
点,25,春晚内容相关,史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 看不搞笑的，能不能给看点帅哥美女，这大丑逼上来是干嘛呢; 2024春晚小品押题《三胎》: 升华点题了
时间,24,年度与时间,papi酱的春晚预测: 时间飞shi; 【旧曲新歌奥密克戎】2022春晚押题相声: 留给押题的时间不多了
太对,24,情感与互动,二模卷成功押中春晚真题  看看是怎么个事儿2024春晚小品押题二模卷《小土豆与锅包肉》: 太对为了让; 无偿送给今年的春晚导演组: 太对了太对味了
up,24,其他,【旧曲新歌奥密克戎】2022春晚押题相声: 谢谢up，已经瞎了; 【旧曲新歌奥密克戎】2022春晚押题相声: up有才
出生,24,其他,2024春晚小品押题《三胎》: 孩子：我选择不出生; 2024春晚小品押题《三胎》: 出生剧情
不了,24,情感与互动,papi酱的春晚预测: 自己去不了，酸别人; 二模卷成功押中春晚真题  看看是怎么个事儿2024春晚小品押题二模卷《小土豆与锅包肉》: 应该是代表不了尔滨的
里,24,其他,【旧曲新歌奥密克戎】2022春晚押题相声: 我们这里疫情防控上网课有没有一样的？; papi酱的春晚预测: 哈哈哈哈哈哈里p
起来,24,情感与互动,求求各位，不要再押题春晚小品了……: 根本想不起来去年都演啥破玩意了; 二模卷成功押中春晚真题  看看是怎么个事儿2024春晚小品押题二模卷《小土豆与锅包肉》: 哦，一个是指一块锅包肉，就是一份锅包肉68，然后呢，本来的意思是所有的菜一共加起来68
一块,24,其他,二模卷成功押中春晚真题  看看是怎么个事儿2024春晚小品押题二模卷《小土豆与锅包肉》: 没懂一块儿68和一块儿68有啥区别; 二模卷成功押中春晚真题  看看是怎么个事儿2024春晚小品押题二模卷《小土豆与锅包肉》: 一个说的全部菜总共68 一个以为是一块肉68
68,24,年度与时间,二模卷成功押中春晚真题  看看是怎么个事儿2024春晚小品押题二模卷《小土豆与锅包肉》: 盲猜所有菜加一起68; 二模卷成功押中春晚真题  看看是怎么个事儿2024春晚小品押题二模卷《小土豆与锅包肉》: 所有菜加一起68不贵啊
禹宙中欣,24,其他,我想看这样的春晚: 啊啊啊啊啊禹宙中欣！; 我想看这样的春晚: 啊啊啊啊！禹宙中欣粉狂喜！！！
搞笑,23,春晚内容相关,史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 看不搞笑的，能不能给看点帅哥美女，这大丑逼上来是干嘛呢; 《2025年蛇年春晚烂梗小品精选》: 春晚没这么搞笑
靠,23,吐槽与负面情绪,【旧曲新歌奥密克戎】2022春晚押题相声: 我靠真的要笑死啊; 无偿送给今年的春晚导演组: 绝了我靠
呗,23,其他,无偿送给今年的春晚导演组: 没意义不结呗; 二模卷成功押中春晚真题  看看是怎么个事儿2024春晚小品押题二模卷《小土豆与锅包肉》: 意思就是三个菜一共68呗
20,23,年度与时间,papi酱的春晚预测: 好想董卿，2023年我回顾这个视频就是听这一句董青谁懂; papi酱的春晚预测: 2024来回顾 时间过得真快
12,23,年度与时间,二进制小品: 感觉比流量明星的12345还有感情; papi酱的春晚预测: 20230121非常新鲜
菜,23,吐槽与负面情绪,无偿送给今年的春晚导演组: 吃预制菜; 二模卷成功押中春晚真题  看看是怎么个事儿2024春晚小品押题二模卷《小土豆与锅包肉》: 一桌菜一共68，和锅包肉一个68
大学生,23,其他,你觉得今年春晚最有可能出现哪些梗？: 清澈愚蠢的大学生; 你觉得今年春晚最有可能出现哪些梗？: 大学生，啊大啊大学生，一天一百块的大学生
非洲,23,其他,无偿送给今年的春晚导演组: 我一年都在非洲; 无偿送给今年的春晚导演组: 非洲务工一年&怀孕
结尾,22,春晚内容相关,2024春晚小品押题《三胎》: 盲猜结尾真的怀上了，大家一起包饺子; 2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 结尾升华主题，启动！
天,22,年度与时间,《2025年蛇年春晚烂梗小品精选》: 天天说，我一个28岁的广东佬就没看过春晚; papi酱的春晚预测: 天天天这一段像极了零几年的周涛老师和郭冬临老师的小品！！
竟然,22,吐槽与负面情绪,2024春晚小品押题《三胎》: 救命，这个竟然有点好笑。; 二进制小品: 我竟然能看懂他要说的是啥
太对味,22,情感与互动,2024春晚小品押题《三胎》: 太对味了; 2024春晚小品押题《三胎》: 太对味儿了
老人,22,春晚内容相关,2024春晚小品押题《三胎》: 不是，老人就不能有一点自我独立能力吗; 无偿送给今年的春晚导演组: 全家福，但没老人
一样,22,春晚内容相关,有烂梗的春晚才叫过年呐: 跟戒毒一样; 《2025年蛇年春晚烂梗小品精选》: 很好，感觉是一样的
这些,22,其他,2024春晚小品押题《三胎》: 不会很重啊，到时候你们这些老的都四了; 史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 哪吒梗，傻根梗，有几个人知道这些啊
邻居,22,其他,2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 其他邻居：阿米诺斯; 求求各位，不要再押题春晚小品了……: 我觉得邻居吵架比这有意思
记得,22,情感与互动,2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 记得饺子馅得是转基因的; 求求各位，不要再押题春晚小品了……: 我还真不记得，就记得只此青绿
赶上,22,情感与互动,8秒看完2025年春晚: 赶上了日本排放核污染水; 8秒看完2025年春晚: 95后除了三鹿奶粉没赶上别的都赶上了哈哈哈哈哈
2025,22,年度与时间,8秒看完2025年春晚: 省流：并非2025; papi酱的春晚预测: 2025来了
2022,22,年度与时间,papi酱的春晚预测: Papi隔空押中了2022年贾玲张小斐的选题; papi酱的春晚预测: 2022跨年之际前来考古！
奶龙,22,其他,《2025年蛇年春晚烂梗小品精选》: 柜子上奶龙; 有烂梗的春晚才叫过年呐: 有奶龙
杂技,22,春晚内容相关,我想看这样的春晚: 哈哈哈，成毅表演杂技; 我想看这样的春晚: 成毅来个杂技！！！哈哈哈哈哈哈哈哈
好事,22,情感与互动,求求各位，不要再押题春晚小品了……: 还有这好事; 求求各位，不要再押题春晚小品了……: 没小品是好事
其实,21,其他,2024春晚小品押题《三胎》: 其实是个大棉袄; 有烂梗的春晚才叫过年呐: 都不知道的看来是不怎么上网啊，其实也好（）
新,21,年度与时间,二进制小品: 新时代样板戏; 无偿送给今年的春晚导演组: 创新性太强了
出音味,21,春晚内容相关,2024春晚小品押题《三胎》: 《出音味来》; 2024春晚小品押题《三胎》: 出音味来
两个,21,其他,2024春晚小品押题《三胎》: 好家伙我还以为一个没生的催呢，生了两个还催。。; 二进制小品: 完了不认识饺子这两个字了
坏,21,吐槽与负面情绪,《2025年蛇年春晚烂梗小品精选》: 坏了，这是真看过春晚（; 【旧曲新歌奥密克戎】2022春晚押题相声: 礼  崩  乐  坏
一集,21,春晚内容相关,2024春晚小品押题《三胎》: 算术最好的一集; 8秒看完2025年春晚: 最真实的一集
谢谢,21,情感与互动,2024春晚小品押题《三胎》: 谢谢，已经听红温了; 史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 谢谢作者没把这几个小品完整的音频放出来我就个赞
逼,21,吐槽与负面情绪,2024春晚小品押题《三胎》: 牛逼; papi酱的春晚预测: 2024春晚来的！papi真的牛逼啊
强行,21,吐槽与负面情绪,2024春晚小品押题《三胎》: 强行煽情; 二模卷成功押中春晚真题  看看是怎么个事儿2024春晚小品押题二模卷《小土豆与锅包肉》: 太强行了，文字梗
不要,21,吐槽与负面情绪,【旧曲新歌奥密克戎】2022春晚押题相声: 这个签，不要联想; 史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 拉石可以，不要让我赤石
呃,21,情感与互动,2024春晚小品押题《三胎》: 呃呃; 2024春晚小品押题《三胎》: 呃呃呃呃呃呃呃呃呃呃
艺术,21,春晚内容相关,2024春晚小品押题《三胎》: 至此，已成艺术; 无偿送给今年的春晚导演组: 至此，已成艺术
预测,21,春晚内容相关,2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 预测今年春晚; 无偿送给今年的春晚导演组: 没空看，预测这玩意干啥
出,21,春晚内容相关,我想看这样的春晚: 九月也出来了，王妈真看; 2024春晚小品押题《三胎》: 出生剧情
唱歌,21,春晚内容相关,史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 我就觉得许嵩的还不错，别的还是算了吧，有几个服化道糟糕得，都不知道唱歌的站在哪了; 我想看这样的春晚: 不要让演员唱歌啊！
三小只,21,明星与节目,我想看这样的春晚: 吗呀多少年没有看到熟悉的三小只这几个字了…; 我想看这样的春晚: 三小只做一桌啊哈哈哈哈哈哈哈哈
盲猜,20,其他,2024春晚小品押题《三胎》: 盲猜结尾真的怀上了，大家一起包饺子; 二模卷成功押中春晚真题  看看是怎么个事儿2024春晚小品押题二模卷《小土豆与锅包肉》: 盲猜所有菜加一起68
发现,20,春晚内容相关,2024春晚小品押题《三胎》: 最后发现是真怀; 史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 突然发现这几个眼睛都好小哈哈哈
演技,20,明星与节目,2024春晚小品押题《三胎》: up演技真不错; 有烂梗的春晚才叫过年呐: 经典池沼演技
这句,20,春晚内容相关,2024春晚小品押题《三胎》: 就这句话就给我干的眉头紧皱了; 你觉得今年春晚最有可能出现哪些梗？: 我不录了，这句没灵魂，差评！
么,20,其他,《2025年蛇年春晚烂梗小品精选》: 你俩怎么要宝宝; 2024春晚小品押题《三胎》: 为了什么啊？
漫长,20,情感与互动,2024春晚小品押题《三胎》: 3分钟像十分钟一样漫长; 2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 好漫长的20分钟，感觉已经过了一年了
孙涛,20,明星与节目,2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 孙涛 王宝强; 2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 孙涛小品就爱整这出
请,20,情感与互动,有烂梗的春晚才叫过年呐: 又来了，怕不是请郭冬临演的龟; 二进制小品: 《剧情演绎，请勿饺子》
刷,20,吐槽与负面情绪,有烂梗的春晚才叫过年呐: 这就去刷好评; 你觉得今年春晚最有可能出现哪些梗？: 昨晚刚n刷赵本山小品
有人,19,其他,2025春晚小品预测，这届网友太有才了: 还有人看?
不生,19,其他,2024春晚小品押题《三胎》: 不生不就没负担了吗
必须,19,其他,2024春晚小品押题《三胎》: 笑拥还是太新了，必须再老一点尬一点（
煽情,19,情感与互动,2024春晚小品押题《三胎》: 煽情の小曲儿
照顾,19,情感与互动,2024春晚小品押题《三胎》: 能不能活这么久先不提，培养需要时间有一方不工作照顾家就会少一分钱
带,19,其他,无偿送给今年的春晚导演组: 带货风向不太对，现在要搞实体经济
细节,19,春晚内容相关,2024春晚小品押题《三胎》: 细节掌声
味,19,春晚内容相关,2024春晚小品押题《三胎》: 汗流浃背了 味儿太冲了
意义,19,春晚主题,2024春晚小品押题《三胎》: 孩子：我生出来的意义就是为了照顾你六个呗？
初生,19,年度与时间,2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 孩子名我都想好了，叫初生
意思,19,其他,求求各位，不要再押题春晚小品了……: 不好意思，其实多少年都没看了，当背景音都嫌扰民
内味,19,吐槽与负面情绪,2024春晚小品押题《三胎》: 太有内味儿了
原来,19,其他,2024春晚小品押题《三胎》: 原来孩子是婆婆的逆天
离谱,19,吐槽与负面情绪,2024春晚小品押题《三胎》: 离谱
草,19,吐槽与负面情绪,无偿送给今年的春晚导演组: 握草
